,0
597,2010-10-01
598,2011-01-01
599,2011-07-01
600,2011-05-01
601,2011-01-01
602,2011-07-01
603,2011-06-01
604,2011-07-01
605,2011-07-01
606,2011-07-01
607,2011-04-01
608,2011-01-01
609,2011-07-01
610,2011-07-01
611,2011-04-01
612,2011-01-01
613,2011-04-01
614,2011-07-01
615,2011-03-01
616,2010-10-01
617,2011-04-01
618,2011-03-01
619,2011-01-01
620,2011-01-01
621,2011-04-01
622,2011-01-01
623,2011-04-01
624,2010-10-01
625,2010-10-01
626,2010-10-01
627,2011-01-01
628,2011-09-08
629,2011-01-01
630,2011-01-01
631,2011-01-01
632,2011-01-01
633,2011-04-01
634,2011-04-01
635,2011-07-01
636,2011-07-01
637,2011-07-01
638,2011-07-01
639,2011-07-01
640,2011-07-01
641,2010-10-01
642,2010-10-01
643,2010-10-01
644,2010-10-01
645,2010-11-01
646,2011-01-01
647,2011-01-01
648,2011-01-01
649,2011-01-01
650,2011-01-01
651,2011-01-01
652,2011-01-01
653,2011-01-01
654,2011-01-28
655,2011-01-01
656,2011-01-01
657,2011-01-01
658,2011-01-01
659,2011-01-01
660,2011-01-01
661,2011-04-01
662,2010-11-01
663,2011-01-01
664,2011-01-01
665,2011-07-01
666,2011-07-01
667,2011-07-01
668,2011-04-01
669,2011-05-01
670,2011-01-01
671,2011-07-01
672,2011-04-01
673,2011-04-01
674,2011-01-01
675,2011-06-01
676,2011-04-01
677,2011-07-01
678,2011-01-01
679,2011-01-01
680,2010-10-01
681,2010-10-01
682,2011-01-01
683,2010-10-01
684,2010-10-01
685,2011-07-01
686,2011-05-01
687,2010-10-01
688,2010-10-01
689,2011-01-01
690,2010-10-01
691,2011-06-01
692,2011-01-01
693,2011-04-01
694,2011-01-01
695,2010-10-01
696,2010-10-01
697,2010-10-01
698,2011-05-01
699,2011-07-01
700,2011-01-01
701,2011-01-01
702,2011-01-01
703,2010-10-01
704,2011-07-01
705,2011-07-01
706,2011-07-01
707,2011-07-01
708,2011-07-01
709,2011-04-01
710,2010-10-01
711,2011-07-01
712,2011-04-01
713,2011-01-01
714,2011-06-01
715,2011-06-01
716,2011-07-01
717,2011-01-01
718,2011-07-01
719,2011-05-01
720,2011-07-01
721,2011-07-01
722,2011-01-01
723,2011-01-01
724,2011-01-01
725,2010-10-01
726,2011-01-01
727,2011-09-01
728,2010-11-01
729,2011-01-01
730,2011-06-01
731,2011-01-01
732,2011-04-01
733,2010-10-01
734,2011-07-01
735,2010-11-01
736,2010-11-01
737,2011-01-01
738,2011-06-01
739,2011-05-01
740,2010-10-01
741,2010-10-01
742,2011-04-01
743,2011-01-01
744,2010-11-17
745,2011-01-01
746,2011-07-01
747,2010-10-01
748,2011-01-01
749,2011-01-01
750,2011-06-01
751,2011-09-01
752,2011-04-01
753,2011-08-01
754,2011-07-01
755,2011-04-01
756,2011-07-01
757,2011-07-01
758,2011-07-01
759,2011-07-01
760,2011-01-01
761,2011-05-01
762,2010-10-01
763,2011-01-01
764,2011-01-01
765,2011-01-01
766,2011-04-01
767,2010-10-01
768,2010-10-01
769,2010-11-01
770,2010-10-01
771,2010-10-01
772,2011-04-01
773,2011-04-01
774,2011-02-01
775,2011-04-04
776,2010-10-01
777,2011-04-01
778,2010-10-01
779,2011-07-01
780,2011-01-01
781,2011-01-01
782,2011-04-01
783,2010-10-01
784,2011-05-01
785,2010-10-01
786,2011-01-01
787,2011-01-01
788,2011-01-01
789,2011-01-01
790,2011-01-01
791,2011-01-01
792,2011-01-01
793,2010-10-01
794,2011-04-01
795,2011-07-01
796,2011-07-01
797,2011-07-01
798,2011-07-01
799,2011-06-01
800,2011-04-01
801,2011-07-01
802,2011-07-01
803,2010-10-01
804,2011-07-01
805,2011-07-01
806,2011-01-01
807,2011-07-01
808,2011-04-01
809,2011-01-01
810,2010-12-01
811,2011-07-01
812,2011-01-01
813,2011-01-01
814,2011-01-01
815,2011-07-01
816,2010-10-01
817,2011-05-01
818,2011-07-01
819,2011-07-01
820,2011-09-01
821,2011-07-01
822,2011-07-01
823,2011-07-01
824,2011-03-02
825,2011-07-01
826,2011-07-01
827,2011-01-01
828,2011-07-01
829,2011-07-01
830,2011-07-01
831,2011-07-01
832,2011-07-01
833,2011-07-01
834,2010-10-01
835,2011-07-01
836,2010-10-01
837,2011-05-01
838,2011-05-01
839,2011-07-01
840,2010-10-01
841,2010-11-01
842,2010-10-01
843,2010-11-01
844,2011-07-01
845,2011-07-01
846,2011-01-01
847,2011-01-01
848,2010-10-01
849,2011-01-01
850,2010-10-01
851,2010-10-01
852,2011-01-01
853,2010-10-01
854,2010-10-01
855,2011-06-01
856,2011-07-01
857,2010-10-01
858,2011-01-01
859,2011-04-01
860,2011-07-01
861,2011-07-01
862,2011-01-01
863,2011-07-01
864,2011-07-01
865,2011-07-01
866,2011-08-01
867,2010-11-01
868,2010-10-01
869,2010-10-01
870,2011-05-01
871,2010-10-01
872,2011-06-01
873,2010-10-01
874,2011-06-01
875,2011-01-01
876,2011-01-01
877,2011-01-01
878,2011-07-01
879,2011-01-01
880,2011-07-01
881,2010-11-01
882,2011-07-01
883,2011-07-28
884,2011-07-01
885,2011-07-01
886,2010-10-01
887,2010-10-01
888,2010-10-01
889,2010-10-01
890,2011-01-01
891,2011-01-01
892,2011-04-01
893,2011-07-01
894,2011-07-01
895,2011-07-01
896,2010-10-01
897,2010-11-01
898,2011-01-01
899,2011-05-01
900,2011-01-01
901,2011-01-01
902,2010-10-01
903,2011-01-01
904,2010-10-01
905,2010-10-01
906,2010-10-01
907,2010-10-01
908,2010-10-01
909,2011-07-01
910,2011-07-01
911,2011-06-01
912,2010-11-01
913,2010-10-01
914,2010-10-01
915,2010-10-01
916,2010-10-01
917,2010-10-01
918,2011-01-01
919,2011-07-01
920,2011-07-01
921,2011-07-01
922,2011-01-01
923,2011-07-01
924,2011-01-01
925,2011-07-01
926,2010-10-01
927,2010-10-01
928,2010-10-01
929,2010-11-01
930,2011-05-01
931,2011-01-01
932,2011-07-01
933,2011-01-01
934,2010-10-01
935,2010-10-01
936,2011-07-01
937,2011-07-01
938,2011-07-01
939,2011-07-01
940,2011-01-01
941,2011-07-01
942,2010-10-01
943,2010-10-01
944,2011-04-01
945,2011-06-01
946,2010-10-01
947,2011-01-01
948,2010-10-01
949,2011-07-01
950,2011-08-01
951,2010-10-01
952,2011-07-01
953,2011-07-01
954,2011-07-01
955,2011-07-01
956,2011-07-01
957,2011-07-01
958,2010-10-01
959,2011-07-01
960,2011-09-01
961,2010-10-01
962,2011-06-01
963,2011-01-01
964,2010-10-01
965,2010-10-01
966,2011-07-01
967,2011-05-01
968,2011-06-01
969,2011-08-01
970,2011-01-01
971,2011-07-01
972,2011-07-01
973,2011-07-01
974,2011-07-01
975,2011-01-01
976,2011-07-01
977,2011-07-01
978,2011-07-01
979,2011-07-01
980,2011-07-01
981,2011-01-01
982,2011-05-01
983,2010-10-01
984,2011-07-01
985,2011-06-01
986,2011-07-01
987,2011-07-01
988,2011-07-01
989,2010-10-01
990,2011-01-01
991,2011-07-01
992,2011-01-01
993,2011-01-01
994,2011-01-01
995,2011-07-01
996,2011-06-01
997,2011-07-01
998,2011-07-01
999,2011-07-01
1000,2011-07-01
1001,2011-07-01
1002,2011-07-01
1003,2011-01-01
1004,2011-05-01
1005,2010-10-01
1006,2011-01-01
1007,2011-07-01
1008,2011-06-01
1009,2011-07-01
1010,2011-07-01
1011,2011-07-01
1012,2011-07-01
1013,2011-07-01
1014,2011-07-01
1015,2011-07-01
1016,2011-07-01
1017,2011-07-01
1018,2011-07-01
1019,2011-07-01
1020,2011-07-01
1021,2011-07-01
1022,2011-07-01
1023,2011-07-01
1024,2011-07-01
1025,2011-07-01
1026,2010-10-01
1027,2010-10-01
1028,2011-01-01
1029,2011-01-01
1030,2011-01-01
1031,2011-01-01
1032,2010-10-01
1033,2011-06-01
1034,2011-07-01
1035,2010-12-01
1036,2011-07-01
1037,2011-07-01
1038,2011-01-01
1039,2011-01-01
1040,2011-07-01
1041,2011-01-01
1042,2010-10-01
1043,2011-01-01
1044,2011-07-01
1045,2010-10-01
1046,2010-10-01
1047,2010-10-01
1048,2011-07-01
1049,2010-10-01
1050,2010-12-01
1051,2011-01-01
1052,2010-12-01
1053,2011-06-01
1054,2011-04-01
1055,2011-01-01
1056,2011-04-01
1057,2011-07-01
1058,2011-05-01
1059,2011-09-01
1060,2010-10-01
1061,2011-07-01
1062,2011-06-01
1063,2010-10-01
1064,2011-01-01
1065,2011-06-01
1066,2010-10-01
1067,2011-07-01
1068,2011-07-01
1069,2011-07-01
1070,2011-07-01
1071,2011-07-01
1072,2011-07-01
1073,2011-07-01
1074,2010-10-01
1075,2011-01-01
1076,2011-01-01
1077,2011-01-01
1078,2011-01-01
1079,2011-07-01
1080,2011-01-01
1081,2011-07-01
1082,2010-10-01
1083,2011-07-01
1084,2011-09-01
1085,2011-01-01
1086,2011-07-01
1087,2011-07-01
1088,2011-01-01
1089,2011-07-01
1090,2011-07-01
1091,2011-07-01
1092,2011-07-01
1093,2011-07-01
1094,2011-04-01
1095,2011-01-01
1096,2011-07-01
1097,2011-07-01
1098,2011-01-01
1099,2011-01-01
1100,2011-07-01
1101,2011-01-01
1102,2010-10-01
1103,2010-10-01
1104,2011-07-01
1105,2011-07-01
1106,2011-01-01
1107,2011-06-01
1108,2011-01-01
1109,2011-01-01
1110,2011-01-01
1111,2010-10-01
1112,2010-10-01
1113,2011-07-01
1114,2011-01-01
1115,2011-09-01
1116,2011-09-01
1117,2011-06-01
1118,2011-07-01
1119,2010-10-01
1120,2011-01-01
1121,2011-07-01
1122,2011-09-01
1123,2011-07-01
1124,2011-04-22
1125,2011-07-01
1126,2010-10-01
1127,2011-09-01
1128,2011-01-01
1129,2010-12-01
1130,2010-10-01
1131,2011-09-01
1132,2010-10-01
1133,2010-12-01
1134,2011-01-01
1135,2011-01-01
1136,2011-07-01
1137,2011-07-01
1138,2011-01-01
1139,2011-01-01
1140,2010-10-01
1141,2011-07-01
1142,2011-01-01
1143,2011-07-01
1144,2011-07-01
1145,2011-01-01
1146,2011-01-01
1147,2011-01-01
1148,2011-07-01
1149,2011-01-01
1150,2011-07-01
1151,2011-07-01
1152,2011-07-01
1153,2011-07-01
1154,2011-07-01
1155,2011-07-01
1156,2011-09-01
1157,2011-01-01
1158,2011-09-01
1159,2011-07-01
1160,2011-07-01
1161,2011-07-01
1162,2011-01-01
1163,2011-07-01
1164,2011-06-01
1165,2011-06-01
1166,2011-01-01
1167,2011-04-01
1168,2010-10-01
1169,2011-07-01
1170,2011-07-01
1171,2011-07-01
1172,2010-12-01
1173,2011-01-01
1174,2011-01-01
1175,2010-10-01
1176,2011-07-01
1177,2011-07-01
1178,2011-03-23
1179,2010-11-01
1180,2011-07-01
1181,2011-04-01
1182,2010-10-01
1183,2011-04-01
1184,2011-01-01
1185,2011-01-01
1186,2011-01-01
1187,2011-01-01
1188,2011-01-01
1189,2011-01-01
1190,2011-01-01
1191,2011-07-01
1192,2011-07-01
1193,2011-01-01
1194,2010-12-01
1195,2011-07-01
1196,2011-07-01
1197,2011-07-01
1198,2010-10-01
1199,2011-07-01
1200,2011-07-01
1201,2011-07-01
1202,2011-01-01
1203,2011-09-01
1204,2011-08-01
1205,2011-01-01
1206,2011-07-01
1207,2010-10-01
1208,2010-10-01
1209,2011-01-01
1210,2011-09-01
1211,2011-07-01
1212,2011-07-01
1213,2011-07-01
1214,2011-01-01
1215,2011-01-01
1216,2011-07-01
1217,2011-07-01
1218,2011-07-01
1219,2011-06-01
1220,2011-07-01
1221,2010-11-01
1222,2011-08-01
1223,2011-07-01
1224,2011-07-01
1225,2011-07-01
1226,2011-07-01
1227,2011-01-01
1228,2011-01-01
1229,2011-01-01
1230,2011-07-01
1231,2011-07-01
1232,2011-06-01
1233,2011-07-01
1234,2010-10-01
1235,2011-07-01
1236,2011-07-01
1237,2011-01-01
1238,2011-01-01
1239,2011-01-01
1240,2011-07-01
1241,2011-01-01
1242,2011-01-01
1243,2011-01-01
1244,2011-07-01
1245,2011-07-01
1246,2011-07-01
1247,2011-01-01
1248,2010-10-01
1249,2011-01-01
1250,2011-01-01
1251,2011-07-01
1252,2011-07-01
1253,2011-07-01
1254,2011-07-01
1255,2011-07-01
1256,2011-01-01
1257,2011-01-01
1258,2011-01-01
1259,2011-01-01
1260,2011-01-01
1261,2011-01-01
1262,2011-01-01
1263,2011-01-01
1264,2011-07-01
1265,2011-07-01
1266,2011-01-01
1267,2011-01-01
1268,2011-07-01
1269,2011-01-01
1270,2010-10-01
1271,2011-09-01
1272,2011-01-01
1273,2011-01-01
1274,2011-08-01
1275,2011-07-01
1276,2011-01-01
1277,2011-01-01
1278,2011-01-01
1279,2011-01-01
1280,2011-06-01
1281,2011-01-01
1282,2011-01-01
1283,2011-07-01
1284,2010-10-01
1285,2011-07-01
1286,2011-01-01
1287,2011-07-01
1288,2011-01-01
1289,2011-09-01
1290,2011-07-01
1291,2010-10-01
1292,2011-01-01
1293,2011-01-01
1294,2011-01-01
1295,2011-07-01
1296,2011-07-01
1297,2011-01-01
1298,2011-01-01
1299,2011-01-01
1300,2011-05-18
1301,2011-01-01
1302,2011-01-01
1303,2011-01-01
1304,2011-07-01
1305,2011-07-01
1306,2011-01-01
1307,2011-07-01
1308,2011-07-01
1309,2011-07-01
1310,2011-07-01
1311,2011-07-01
1312,2011-07-01
1313,2011-07-01
1314,2011-01-01
1315,2011-01-01
1316,2011-01-01
1317,2011-01-01
1318,2011-01-01
1319,2011-01-01
1320,2011-01-01
1321,2011-07-01
1322,2011-07-01
1323,2011-01-01
1324,2011-01-01
1325,2011-07-01
1326,2011-01-01
1327,2011-09-01
1328,2011-02-01
1329,2011-01-01
1330,2011-04-01
1331,2011-01-01
1332,2011-01-01
1333,2011-01-01
1334,2011-01-01
1335,2011-01-01
1336,2011-01-01
1337,2011-01-01
1338,2010-12-01
1339,2011-01-01
1340,2011-01-01
1341,2011-01-01
1342,2011-01-01
1343,2010-10-01
1344,2011-07-01
1345,2011-01-01
1346,2011-01-01
1347,2011-01-01
1348,2011-01-01
1349,2011-07-01
1350,2011-01-01
1351,2011-06-01
1352,2011-07-01
1353,2010-10-01
1354,2011-01-01
1355,2011-01-01
1356,2011-01-01
1357,2011-09-01
1358,2011-01-01
1359,2011-01-01
1360,2011-01-01
1361,2010-10-01
1362,2011-01-01
1363,2011-01-01
1364,2011-01-01
1365,2011-01-01
1366,2011-01-01
1367,2011-01-01
1368,2011-01-01
1369,2010-10-01
1370,2010-10-01
1371,2010-10-01
1372,2011-01-01
1373,2010-10-01
1374,2011-01-01
1375,2011-01-01
1376,2011-01-01
1377,2011-01-01
1378,2011-01-01
1379,2011-05-01
1380,2011-01-01
1381,2011-01-01
1382,2011-01-01
1383,2011-01-01
1384,2011-01-01
1385,2011-01-01
1386,2011-01-01
1387,2011-01-01
1388,2011-01-01
1389,2011-07-01
1390,2011-07-01
1391,2011-07-01
1392,2011-07-01
1393,2011-07-01
1394,2011-07-01
1395,2011-01-01
1396,2011-01-01
1397,2011-01-01
1398,2011-01-01
1399,2011-01-01
1400,2011-01-01
1401,2011-01-01
1402,2011-01-01
1403,2011-01-01
1404,2011-08-26
1405,2011-01-01
1406,2011-01-01
1407,2011-01-01
1408,2011-01-01
1409,2011-01-01
1410,2011-03-01
1411,2011-01-01
1412,2011-07-01
1413,2011-04-01
1414,2011-01-01
1415,2011-01-01
1416,2011-01-01
1417,2011-01-01
1418,2011-01-01
1419,2011-01-01
1420,2011-01-01
1421,2011-01-01
1422,2011-01-01
1423,2011-01-01
1424,2011-01-01
1425,2011-01-01
1426,2011-01-01
1427,2011-09-01
1428,2011-07-01
1429,2011-01-01
1430,2011-01-01
1431,2011-01-01
1432,2011-01-01
1433,2011-01-01
1434,2011-01-01
1435,2011-01-01
1436,2011-01-01
1437,2011-01-01
1438,2011-01-01
1439,2011-01-01
1440,2011-01-01
1441,2011-01-01
1442,2011-05-06
1443,2011-01-01
1444,2011-07-01
1445,2011-01-01
1446,2011-01-01
1447,2011-01-01
1448,2011-09-01
1449,2010-12-01
1450,2011-01-01
1451,2011-01-01
1452,2011-01-01
1453,2011-01-01
1454,2011-02-01
1455,2011-01-01
1456,2011-09-01
1457,2011-09-01
1458,2011-09-01
1459,2011-07-01
1460,2011-07-01
1461,2011-07-01
1462,2011-01-01
1463,2011-07-01
1464,2011-07-01
1465,2011-07-01
1466,2011-07-01
1467,2011-07-01
1468,2011-07-01
1469,2011-07-01
1470,2011-07-01
1471,2011-01-01
1472,2011-01-01
1473,2011-01-01
1474,2011-07-01
1475,2011-07-01
1476,2011-07-01
1477,2011-09-01
1478,2011-08-01
1479,2011-01-01
1480,2011-01-01
1481,2011-01-01
1482,2011-01-01
1483,2011-07-01
1484,2011-08-01
1485,2011-08-01
1486,2011-08-01
1487,2011-01-01
1488,2011-08-01
1489,2011-01-01
1490,2011-08-01
1491,2011-01-01
1492,2011-01-01
1493,2011-01-01
1494,2011-01-01
1495,2011-01-01
1496,2011-01-01
1497,2011-01-01
